Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,status,sumber,Keywords_kategori,Text_clean
0,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",investigasi whatsapp nomer mengatasnamakan customer care cepat layan komplain profesional sicepat komplain,netral,twitter,Update layanan pelacakan resi,investigasi whatsapp nomer mengatasnamakan customer care cepat layan komplain profesional komplain
1,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat input lapor ambil,netral,twitter,Update layanan pelacakan resi,input lapor ambil
2,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",indonesian police numba sicepat,netral,twitter,Update layanan pelacakan resi,police numba
3,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",whitepaper datanesia edisi april jasa kian lesat belanja olineshop sicepat anteraja sapx,netral,twitter,Update layanan pelacakan resi,whitepaper datanesia edisi april jasa kian lesat belanja olineshop sapx
4,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",gaji teman belanja jasa komen datanesia belanja olineshop sicepat anteraja sapx shopee tokopedia lazada,netral,twitter,Update layanan pelacakan resi,gaji teman belanja jasa komen datanesia belanja olineshop sapx
5,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",resi muncul resi tokopedia sicepat help tolong dibantu,netral,twitter,Update layanan pelacakan resi,resi muncul resi help tolong dibantu
6,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",cust beli lippies azarine velvet sicepat ketuker resi,netral,twitter,Update layanan pelacakan resi,cust beli lippies azarine velvet tertukar resi
7,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",cust azarine velvet photocard sicepat,netral,twitter,Update layanan pelacakan resi,cust azarine velvet photocard
8,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",lapor jasa sicepat tokped tolong bantu sisi tokopedia terimakasih,netral,twitter,Update layanan pelacakan resi,lapor jasa tolong bantu sisi terimakasih
9,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",selesai packing pagi order jemput lempar keliru jasa jemput sicepat,netral,twitter,Update layanan pelacakan resi,selesai packing pagi order jemput lempar keliru jasa jemput
11,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",post status bawa pagi nyampek molor sicepat shopee,netral,twitter,Update layanan pelacakan resi,post status bawa pagi nyampek molor
12,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",masak bawa nyampek argumen coda logis bawa pagi anter malem nalar sumpah sicepat shopee,netral,twitter,Update layanan pelacakan resi,masak bawa nyampek argumen coda logis bawa pagi anter malem nalar sumpah
13,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",alamat sesuai proses jabodetabek sicepat paket hilang,netral,twitter,Update layanan pelacakan resi,alamat sesuai proses jabodetabek paket hilang
14,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",tuju medan sicepat lemot,netral,twitter,Update layanan pelacakan resi,tuju medan lambat
16,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",bukti setor zakat konfirmasi layan muzaki baznas konsultasi zakat layan baznas email layanan muzaki baznas sedekah sicepat mudah,netral,twitter,Update layanan pelacakan resi,bukti setor zakat konfirmasi layan muzaki baznas konsultasi zakat layan baznas email layanan muzaki baznas sedekah mudah
17,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",bogor sukaraja bekas jaktim bogor sukaraja sicepat,netral,twitter,Update layanan pelacakan resi,bogor sukaraja bekas jaktim bogor sukaraja
18,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",riah jakarta sicepat superapp voucher diskon sicepat,netral,twitter,Update layanan pelacakan resi,riah jakarta superapp voucher diskon
19,0,1,"bantu, sicepat, terima, resi, tolong, mudah, indonesia, masuk, update, lacak",sicepat jaten karanganyar lewo lema karanganyar,netral,twitter,Update layanan pelacakan resi,jaten karanganyar lewo lema karanganyar
